City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,iquique,-20.2208,-70.1431,17.76,74,29,0.78,CL,1694808690
345,gaspar hernandez,19.6289,-70.2811,34.03,77,98,2.38,DO,1694809125
346,namibe,-15.1961,12.1522,17.52,87,25,1.75,AO,1694809125
347,grinnell,41.743,-92.7224,27.99,41,75,3.09,US,1694808932
348,jiayuguan,39.8167,98.3,15.05,30,0,2.26,CN,1694809102
349,guichon,-32.35,-57.2,19.52,60,91,6.58,UY,1694809126
350,klina,42.6217,20.5778,20.97,81,7,1.63,XK,1694809126
351,kailua-kona,19.6406,-155.9956,29.04,77,40,3.6,US,1694809126
352,grand falls-windsor,48.9332,-55.6649,22.5,76,100,3.06,CA,1694809127
353,tual,-5.6667,132.75,24.92,81,46,9.67,ID,1694809127
354,los osos,35.3111,-120.8324,29.17,76,20,2.68,US,1694809127
355,luena,-11.7833,19.9167,20.64,30,1,2.05,AO,1694809127
356,vila velha,-20.3297,-40.2925,19.97,93,100,5.66,BR,1694808707
357,chonchi,-42.6128,-73.8092,12.29,77,12,4.03,CL,1694809128
358,howard springs,-12.497,131.047,21.95,68,20,3.44,AU,1694809128
359,bocanda,7.0626,-4.4995,23.64,97,91,2.06,CI,1694809128
360,chatham,51.3789,0.5279,20.11,62,0,2.81,GB,1694808932
361,khandyga,62.6667,135.6,3.41,90,100,3.86,RU,1694809128
362,brezina,33.0989,1.2608,27.18,27,62,2.67,DZ,1694809129
363,katsuren-haebaru,26.3369,127.8719,29.43,89,40,2.06,JP,1694809118
364,luganville,-15.5333,167.1667,23.19,77,90,2.1,VU,1694809129
365,shagonar,51.5333,92.8,10.63,88,100,1.24,RU,1694809129
366,tolanaro,-25.0319,46.9987,21.51,87,1,7.68,MG,1694809130
367,shingu,33.7333,135.9833,24.24,88,79,2.22,JP,1694809130
368,usinsk,65.9939,57.5281,10.66,90,100,5.3,RU,1694808959
369,lodja,-3.4833,23.4333,24.04,67,28,0.96,CD,1694809004
370,sivas,39.7916,37.0019,10.35,87,0,1.54,TR,1694809130
371,kaohsiung,22.6163,120.3133,26.13,91,40,1.54,TW,1694809131
372,simanggang,1.2472,111.4528,23.99,94,96,0.0,MY,1694809131
373,umaria,23.5333,80.8333,22.91,94,56,2.61,IN,1694809131
374,gantang,26.92,119.6333,24.21,96,99,1.0,CN,1694809131
